local_ts_ms,recv_iso_utc,msg_ts_ms,event_type,bid_price,bid_qty,ask_price,ask_qty,change,trade_price,trade_size,trade_side,trade_tx_hash
1772368991363,2026-03-01T12:43:11.363+00:00,1772368991332,book,0.6,138.51,0.61,444.96,,,,,
1772368991369,2026-03-01T12:43:11.369+00:00,1772368991331,price_change,0.6,138.51,0.61,444.96,,,,,
1772368991369,2026-03-01T12:43:11.369+00:00,1772368991332,price_change,0.6,138.51,0.61,444.96,,,,,
1772368991392,2026-03-01T12:43:11.392+00:00,1772368991357,price_change,0.6,138.51,0.61,444.96,,,,,
1772368991413,2026-03-01T12:43:11.413+00:00,1772368991375,price_change,0.6,238.51,0.61,444.96,,,,,
1772368991441,2026-03-01T12:43:11.441+00:00,1772368991413,best_bid_ask,0.6,238.51,0.61,444.96,no_change,,,,
1772368991442,2026-03-01T12:43:11.442+00:00,1772368991412,price_change,0.6,233.51,0.61,444.96,,,,,
1772368991443,2026-03-01T12:43:11.443+00:00,1772368991412,book,0.6,233.51,0.61,444.96,,,,,
1772368991443,2026-03-01T12:43:11.443+00:00,1772368991414,price_change,0.6,233.51,0.61,444.96,,,,,
1772368991443,2026-03-01T12:43:11.443+00:00,1772368991414,price_change,0.6,233.51,0.61,444.96,,,,,
1772368991443,2026-03-01T12:43:11.443+00:00,1772368991415,price_change,0.6,233.51,0.61,444.96,,,,,
1772368991444,2026-03-01T12:43:11.444+00:00,1772368991415,price_change,0.6,233.51,0.61,444.96,,,,,
1772368991451,2026-03-01T12:43:11.451+00:00,1772368991427,price_change,0.6,233.51,0.61,444.96,,,,,
1772368991453,2026-03-01T12:43:11.453+00:00,1772368991431,price_change,0.6,216.18,0.61,444.96,,,,,
1772368991453,2026-03-01T12:43:11.453+00:00,1772368991433,price_change,0.6,216.18,0.61,444.96,,,,,
1772368991457,2026-03-01T12:43:11.457+00:00,1772368991446,price_change,0.6,216.18,0.61,444.96,,,,,
1772368991458,2026-03-01T12:43:11.458+00:00,1772368991448,price_change,0.6,238.83,0.61,444.96,,,,,
1772368991463,2026-03-01T12:43:11.463+00:00,1772368991452,price_change,0.6,238.83,0.61,444.96,,,,,
1772368991463,2026-03-01T12:43:11.463+00:00,1772368991453,price_change,0.6,238.83,0.61,444.96,,,,,
1772368991463,2026-03-01T12:43:11.463+00:00,1772368991453,price_change,0.6,238.83,0.61,464.96,,,,,
1772368991467,2026-03-01T12:43:11.467+00:00,1772368991456,price_change,0.6,238.83,0.61,464.96,,,,,
1772368991467,2026-03-01T12:43:11.467+00:00,1772368991457,price_change,0.6,238.83,0.61,464.96,,,,,
1772368991480,2026-03-01T12:43:11.480+00:00,1772368991469,price_change,0.6,244.73,0.61,464.96,,,,,
1772368991518,2026-03-01T12:43:11.518+00:00,1772368991492,price_change,0.6,244.73,0.61,464.96,,,,,
1772368991527,2026-03-01T12:43:11.527+00:00,1772368991507,price_change,0.6,244.73,0.61,464.96,,,,,
1772368991527,2026-03-01T12:43:11.527+00:00,1772368991510,price_change,0.6,244.73,0.61,484.96,,,,,
1772368991707,2026-03-01T12:43:11.707+00:00,1772368991697,best_bid_ask,0.6,244.73,0.61,484.96,no_change,,,,
1772368991708,2026-03-01T12:43:11.708+00:00,1772368991695,price_change,0.6,244.73,0.61,484.95,,,,,
1772368991708,2026-03-01T12:43:11.708+00:00,1772368991695,book,0.6,244.73,0.61,484.95,,,,,
1772368991741,2026-03-01T12:43:11.741+00:00,1772368991730,price_change,0.6,244.73,0.61,484.95,,,,,
1772368991759,2026-03-01T12:43:11.759+00:00,1772368991748,price_change,0.6,244.73,0.61,484.95,,,,,
1772368991769,2026-03-01T12:43:11.769+00:00,1772368991758,price_change,0.6,244.73,0.61,484.95,,,,,
1772368991770,2026-03-01T12:43:11.770+00:00,1772368991759,price_change,0.6,244.73,0.61,484.95,,,,,
1772368991781,2026-03-01T12:43:11.781+00:00,1772368991769,price_change,0.6,244.73,0.61,491.25,,,,,
1772368991802,2026-03-01T12:43:11.802+00:00,1772368991792,price_change,0.6,244.73,0.61,491.25,,,,,
1772368992128,2026-03-01T12:43:12.128+00:00,1772368992116,price_change,0.6,244.73,0.61,491.25,,,,,
1772368992221,2026-03-01T12:43:12.221+00:00,1772368992210,price_change,0.6,244.73,0.61,491.25,,,,,
1772368992221,2026-03-01T12:43:12.221+00:00,1772368992211,price_change,0.6,209.0,0.61,491.25,,,,,
1772368992221,2026-03-01T12:43:12.221+00:00,1772368992211,price_change,0.6,209.0,0.61,491.25,,,,,
1772368992222,2026-03-01T12:43:12.222+00:00,1772368992212,price_change,0.6,209.0,0.61,491.25,,,,,
1772368992252,2026-03-01T12:43:12.252+00:00,1772368992241,price_change,0.6,209.0,0.61,484.95,,,,,
1772368992290,2026-03-01T12:43:12.290+00:00,1772368992279,price_change,0.6,209.0,0.61,484.95,,,,,
1772368992367,2026-03-01T12:43:12.367+00:00,1772368992358,best_bid_ask,0.6,209.0,0.61,484.95,no_change,,,,
1772368992368,2026-03-01T12:43:12.368+00:00,1772368992356,price_change,0.6,209.0,0.61,483.31,,,,,
1772368992369,2026-03-01T12:43:12.369+00:00,1772368992356,book,0.6,209.0,0.61,483.31,,,,,
1772368992382,2026-03-01T12:43:12.382+00:00,1772368992370,price_change,0.6,209.0,0.61,483.31,,,,,
1772368992382,2026-03-01T12:43:12.382+00:00,1772368992371,price_change,0.6,209.0,0.61,483.31,,,,,
1772368992405,2026-03-01T12:43:12.405+00:00,1772368992394,last_trade_price,0.6,209.0,0.61,483.31,,0.61,1.639343,BUY,0xb0578f67fb5b4d57411cb7166632776188b265a383c98fff01c4e1a4223ac21f
1772368992411,2026-03-01T12:43:12.411+00:00,1772368992401,price_change,0.6,209.0,0.61,483.31,,,,,
1772368992413,2026-03-01T12:43:12.413+00:00,1772368992402,price_change,0.6,209.0,0.61,483.31,,,,,
1772368992471,2026-03-01T12:43:12.471+00:00,1772368992459,price_change,0.6,209.0,0.61,483.31,,,,,
1772368992496,2026-03-01T12:43:12.496+00:00,1772368992485,price_change,0.6,224.6,0.61,483.31,,,,,
1772368992498,2026-03-01T12:43:12.498+00:00,1772368992485,price_change,0.6,201.95,0.61,483.31,,,,,
1772368992498,2026-03-01T12:43:12.498+00:00,1772368992486,price_change,0.6,201.95,0.61,483.31,,,,,
1772368992498,2026-03-01T12:43:12.498+00:00,1772368992488,price_change,0.6,201.95,0.61,483.31,,,,,
1772368992510,2026-03-01T12:43:12.510+00:00,1772368992489,price_change,0.6,201.95,0.61,483.31,,,,,
1772368992510,2026-03-01T12:43:12.510+00:00,1772368992490,price_change,0.6,201.95,0.61,483.31,,,,,
1772368992510,2026-03-01T12:43:12.510+00:00,1772368992491,price_change,0.6,184.0,0.61,483.31,,,,,
1772368992510,2026-03-01T12:43:12.510+00:00,1772368992492,price_change,0.6,184.0,0.61,483.31,,,,,
1772368992510,2026-03-01T12:43:12.510+00:00,1772368992494,price_change,0.6,199.61,0.61,483.31,,,,,
1772368992731,2026-03-01T12:43:12.731+00:00,1772368992720,price_change,0.6,199.61,0.61,483.31,,,,,
1772368992736,2026-03-01T12:43:12.736+00:00,1772368992726,price_change,0.6,157.11,0.61,483.31,,,,,
1772368992737,2026-03-01T12:43:12.737+00:00,1772368992726,price_change,0.6,137.11,0.61,483.31,,,,,
1772368992739,2026-03-01T12:43:12.739+00:00,1772368992728,price_change,0.6,137.11,0.61,503.31,,,,,
1772368992740,2026-03-01T12:43:12.740+00:00,1772368992729,price_change,0.6,137.11,0.61,503.31,,,,,
1772368992740,2026-03-01T12:43:12.740+00:00,1772368992729,price_change,0.6,137.11,0.61,503.31,,,,,
1772368992741,2026-03-01T12:43:12.741+00:00,1772368992731,price_change,0.6,137.11,0.61,548.31,,,,,
1772368992742,2026-03-01T12:43:12.742+00:00,1772368992732,price_change,0.6,137.11,0.61,548.31,,,,,
1772368992745,2026-03-01T12:43:12.745+00:00,1772368992733,price_change,0.6,137.11,0.61,548.31,,,,,
1772368992745,2026-03-01T12:43:12.745+00:00,1772368992735,price_change,0.6,137.11,0.61,548.31,,,,,
1772368992746,2026-03-01T12:43:12.746+00:00,1772368992735,price_change,0.6,137.11,0.61,548.31,,,,,
1772368992746,2026-03-01T12:43:12.746+00:00,1772368992736,price_change,0.6,137.11,0.61,548.31,,,,,
1772368992747,2026-03-01T12:43:12.747+00:00,1772368992736,price_change,0.6,137.11,0.61,528.31,,,,,
1772368992748,2026-03-01T12:43:12.748+00:00,1772368992737,price_change,0.6,137.11,0.61,528.31,,,,,
1772368992748,2026-03-01T12:43:12.748+00:00,1772368992737,price_change,0.6,137.11,0.61,528.31,,,,,
1772368992748,2026-03-01T12:43:12.748+00:00,1772368992738,price_change,0.6,137.11,0.61,528.31,,,,,
1772368992749,2026-03-01T12:43:12.749+00:00,1772368992738,price_change,0.6,137.11,0.61,528.31,,,,,
1772368992750,2026-03-01T12:43:12.750+00:00,1772368992740,price_change,0.6,137.11,0.61,528.31,,,,,
1772368992751,2026-03-01T12:43:12.751+00:00,1772368992740,price_change,0.6,137.11,0.61,618.31,,,,,
1772368992753,2026-03-01T12:43:12.753+00:00,1772368992743,price_change,0.6,137.11,0.61,598.31,,,,,
1772368992755,2026-03-01T12:43:12.755+00:00,1772368992745,price_change,0.6,137.11,0.61,598.31,,,,,
1772368992761,2026-03-01T12:43:12.761+00:00,1772368992751,price_change,0.6,137.11,0.61,598.31,,,,,
1772368992762,2026-03-01T12:43:12.762+00:00,1772368992752,price_change,0.6,137.11,0.61,598.31,,,,,
1772368992780,2026-03-01T12:43:12.780+00:00,1772368992753,price_change,0.6,137.11,0.61,598.31,,,,,
1772368992780,2026-03-01T12:43:12.780+00:00,1772368992756,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992780,2026-03-01T12:43:12.780+00:00,1772368992756,price_change,0.6,137.11,0.61,578.31,,,,,
1772368992780,2026-03-01T12:43:12.780+00:00,1772368992757,price_change,0.6,121.5,0.61,578.31,,,,,
